description,query
"It searches for Fortinet Fortigate events for tenant D0034 while filtering out a large set of routine, informational, and performance messages so only potentially noteworthy security events (anomalies, warnings, or errors) are surfaced.","tenantname:D0034 AND pname:""Fortinet Fortigate"" AND (NOT evt:""Traffic local message"") AND (NOT evt:""Traffic forward message"") AND (NOT evt:""Forward traffic statistics"") AND (NOT evt:""Failed connection attempts "") AND (NOT evt:""DNS Query"") AND (NOT evt:""System performance statistics"") AND (NOT evt:""SNMP query failed"") AND (NOT evt:""FortiGuard hostname unresolvable"") AND (NOT evt:""Domain is monitored"") AND (NOT evt:""A rating error occurs"") AND (NOT evt:""Threat feed update failed"") AND (NOT evt:""SSL VPN statistics"") AND (NOT evt:""IPsec tunnel statistics"") AND (NOT evt:""DHCP statistics"") AND (NOT evt:Anomaly) AND (NOT evt:""Security Rating summary"") AND (NOT evt:""Scanunit reloaded AV Database"") AND (NOT evt:""SSL VPN exit error"") AND (NOT evt:""Admin logout successful"") AND (NOT evt:""Admin login successful"") AND (NOT evt:""Progress IPsec phase 2"") AND (NOT evt:""FortiGate update succeeded"") AND (NOT evt:""FortiGate update failed"") AND (NOT evt:""Dynamic address updated"") AND (NOT evt:""Automation stitch triggered"") AND (NOT evt:""Threat feed updated"") AND (NOT evt:""Synchronization status with primary"") AND (NOT evt:""SSL VPN alert"") AND (NOT evt:""HA secondary synchronized FLDB"") AND (NOT evt:""Domain name of alert email sender unresolvable"") AND (NOT evt:""SSL VPN login fail"") AND (NOT evt:""Negotiate IPsec phase 2"") AND (NOT evt:""IPsec SA installed"") AND (NOT evt:""HA secondary synchronized Virus database"") AND (NOT evt:""HA secondary synchronized Extended database"") AND (NOT evt:""Threat feed loaded"") AND (NOT evt:""SSL VPN tunnel up"") AND (NOT evt:""SSL VPN new connection"") AND (NOT evt:""IPsec phase 2 SA deleted"") AND (NOT evt:""Dynamic address updated."")"
Finds log entries for tenant M0001 that originate from source 18-078.,tenantname:M0001 AND srcname:18-078
"Returns logs for tenant D0034 at severity 3, excluding any events originating from IP addresses that start with 192.",tenantname:D0034 AND sev:3 AND NOT srcip:192.*.*.*
Identify network events where the process is CrowdStrike and there is a source or destination network zone specified.,"(srcnetzone:* OR trgnetzone:*) AND pname:""CrowdStrike"""
"Finds security events for tenant D0034 coming from any source IP, with the source location in China, and a severity level of 4.",tenantname:D0034 AND srcip:* AND srccountry:CHN AND sev:4
"It looks for events in tenant M0001 from Palo Alto Next-Generation Firewall devices, excluding MAGI-parsed results, where a target domain value exists.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND trgdomain:*"
"Find Juniper SRX Firewall events for tenant D0034 where a blocked source IP is recorded, exclude any traffic from 161.117.x.x, and include only traffic from 115.231.220.104.","tenantname:D0034 AND pname:""Juniper SRX Firewall"" AND blsrc_srcip:* AND NOT srcip:161.117.*.* AND srcip:115.231.220.104"
"Identify URL download failure events originating from Palo Alto Next‑Generation Firewall, while excluding logs from Symantec Endpoint Protection, the host 172.16.0.21, Microsoft Active Directory/Windows, and VMware vCenter, and also skip events that have all of the specified tax-related fields populated.","NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT pname:""Symantec Endpoint Security Protection"" AND NOT couname:172.16.0.21 AND NOT pname:""Microsoft Active Directory and Windows"" AND NOT pname:""vSphere vCenter"" AND pname:""Palo Alto Next\\-Generation Firewall"" AND evt:""url\\-download\\-failure"""
It filters for log events that were handled by parser 1049 and originate from the source IP 10.172.30.50.,parserid:1049 AND srcip:10.172.30.50
"Searches for Windows process creation where Curl.EXE was launched in tenant D0034, tied to the Sigma rule Curl.EXE Execution, tagged for SIEM, and with a source IP present.","tenantname:D0034 AND evt:""sigma-r2024-03-26/rules-threat-hunting/windows/process_creation/Curl.EXE Execution"" AND taxevtst:siem AND srcip:*"
"Finds logs for tenant D0034 where at least one of the key tax-event/outbound fields is missing (i.e., not a fully populated tax event record), and excludes any entries from Huawei Firewall, from the IP 192.168.199.254, and with severity 1.","tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*)  AND NOT pname:""Huawei Firewall"" AND NOT couip:192.168.199.254 AND NOT sev:1"
"Finds logs for tenant D0034 from Palo Alto Next-Generation Firewall where the destination domain is stream.binance.com and domain metadata is present, indicating traffic involving that Binance domain.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND trgdomain:* AND blsrc_trgdomain:* AND trgdomain:stream.binance.com"
"Finds Palo Alto NGFW logs for tenant D0034 showing internal hosts in 192.168.40.x connecting to external IP 52.123.129.14, with a source-destination IP pairing, and excluding traffic to 13.107.42.16.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgip:* AND NOT trgip:13.107.42.16 AND trgip:52.123.129.14 AND srcip:192.168.40.*"
"Identify events for tenant D0034 involving Symantec Endpoint Security Protection where an IP is present, excluding traffic destined to 13.107.42.16 and 52.123.128.14.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection""  AND blsrc_trgip:* AND NOT trgip:13.107.42.16 AND NOT trgip:52.123.128.14"
"Fetch moderate-severity events that are not any of a long list of known benign or non-actionable event types, effectively highlighting unusual or potentially noteworthy security events.","sev:3  AND (NOT evt:""storageRM\\[2100033\\]"") AND (NOT evt:""Packet Deny"") AND (NOT evt:""Networking Problem"") AND (NOT evt:Hostd) AND (NOT evt:""Anti\\-Scanning"") AND (NOT evt:""storageRM\\[2098985\\]"") AND (NOT evt:""sdrsInjector\\[2100015\\]"") AND (NOT evt:""sdrsInjector\\[2098967\\]"") AND (NOT evt:""Execute a Remote Command"") AND (NOT evt:ErtFeed) AND (NOT evt:""storageRM\\[2098985\\]"") AND (NOT evt:""sdrsInjector\\[2100015\\]"") AND (NOT evt:""sdrsInjector\\[2098967\\]"") AND (NOT evt:""Execute a Remote Command"") AND (NOT evt:ErtFeed) AND (NOT evt:""sfcb\\-vmware_base\\[2099571\\]"") AND (NOT evt:""Vpxa\\[2100587\\]"") AND (NOT evt:""Symantec Endpoint Protection has determined that the virus definitions are missing on this computer"") AND (NOT evt:""Spyware detection"") AND (NOT evt:""An update for Common Network Transport Library and Configuration from LiveUpdate failed to install"") AND (NOT evt:""No suitable default server credential exists on this system"") AND (NOT evt:ConnectionPPS) AND (NOT evt:""An update for WSS Traffic Redirection from LiveUpdate failed to install"") AND (NOT evt:""An update for SONAR Definitions from LiveUpdate failed to install"") AND (NOT evt:""An update for Intrusion Prevention Signatures from LiveUpdate failed to install"") AND (NOT evt:kmxa) AND (NOT evt:""The client will block traffic from IP address"") AND (NOT evt:Intrusions) AND (NOT evt:""Device Manager Message Disabled the device"") AND (NOT evt:""An update for Revocation Data from LiveUpdate failed to install"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 15\\:09\\:10"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 14\\:51\\:11"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 14\\:45\\:36"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 14\\:01\\:08"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 13\\:27\\:12"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 15\\:03\\:10"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 14\\:57\\:12"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 14\\:33\\:06"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 14\\:15\\:03"") AND (NOT evt:""An update for Virus and Spyware Definitions SDS Win64 \\(Reduced\\) failed to install"") AND (NOT evt:""Name resolution for the name aaq4264.id.cyberark.cloud timed out after none of the configured DNS servers responded."") AND (NOT evt:""Event time\\: 2025\\-06\\-20 14\\:45\\:02"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 14\\:10\\:10"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 14\\:07\\:07"") AND (NOT evt:""An update for Endpoint Detection and Response failed to install"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 14\\:16\\:10"") AND (NOT evt:""Event time\\: 2025\\-06\\-20 14\\:13\\:08"") AND (NOT evt:""An update for SONAR Definitions failed to install"") AND (NOT evt:""An update for Power Eraser Definitions failed to install"") AND (NOT evt:""An update for Extended File Attributes and Signatures failed to install"")"
"Retrieve logs from tenant M0001 for the Palo Alto Next-Generation Firewall, excluding entries handled by MAGI, where a source username is present.","(tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall""  AND NOT parsertype:MAGI ) AND srcuname:*"
"It looks for reconnection events where a Symantec Endpoint Protection client under tenant D0034 reconnected to the management server, including the time of the reconnect.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND rawmsg:"""
Looks for successful Windows logon events (Event 4624) for tenant M0001 originating from IP 10.1.32.150 and targeting the host named localveeamhksvr150.,tenantname:M0001 AND couip:10.1.32.150 AND vec:4624 AND trguname:localveeamhksvr150
"Find logs for tenant D0034 from a Palo Alto Next-Generation Firewall showing traffic from internal 192.168.40.* to the external IP 52.123.129.14, excluding traffic to 13.107.42.16, where there is a destination IP and a destination domain.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgip:* AND NOT trgip:13.107.42.16 AND trgip:52.123.129.14 AND srcip:192.168.40.* AND trgdomain:*"
"Finds logs from tenant M0001 for Palo Alto Next-Generation Firewall, excluding entries with MAGI as the parser type, and with severity level 3.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND sev:3"
"Find logs of allowed outbound connections to bam.nr-data.net that originate from either the Palo Alto firewall or Symantec Endpoint Protection, where there is a value for the target IP score.","pname:""Palo Alto Next\\-Generation Firewall"" OR pname:""Symantec Endpoint Security Protection"" AND blscore_trgip:* AND evt:""Allowed Outbound connection"" AND trgdomain:""bam.nr\\-data.net"""
"Locates logs for tenant D0034 showing outbound-proxy activity tied to the client IP 172.16.0.25, while excluding any events classified as ConnectionPPS.",tenantname:D0034 AND taxoutpro:1 AND couip:172.16.0.25  NOT evt:ConnectionPPS
"Looks for potential security events in tenant M0001 by excluding activity from common legitimate sources (Windows AD and related process names, CrowdStrike EDR, vCenter, and certain hosts), excluding successful logon events, failed parses, and a specific IP, and also excluding events that have a full set of tax-related fields.","tenantname:M0001 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT vec:4624 AND NOT pname:""Microsoft Active Directory and Windows"" AND NOT couname:10.1.32.232 AND NOT couname:10.1.32.231 AND NOT pname:""CrowdStrike EDR"" AND NOT pname:""vSphere vCenter"" AND NOT parsertype:MAGIPOST AND NOT couname:10.1.100.150 AND NOT parselogstatus:failed AND NOT couip:10.1.32.150"
Looks for access events with severity level 2 from any source country.,srccountry:* AND sev:2 AND evt:Access
It looks for high-severity logs tied to the clusterAgent instance with ID 2103971.,"sev:5 AND evt:""clusterAgent\\[2103971\\]"""
"Find tenant D0034 logs where parcel processing failed, but exclude records that have all the tax event and tax output fields populated, and remove sources from the four internal IP addresses.","tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND parselogstatus:""failed"" AND NOT couname:192.168.6.201 AND NOT couname:192.168.43.1  AND NOT couname:172.16.0.1 AND NOT couname:172.16.0.2"
Filters logs to show events whose source country is China and that belong to tenant D0034.,srccountry:CHN AND tenantname:D0034
Filters for events belonging to tenant M0001 and originating from the host sunhinghk02.,tenantname:M0001 AND couname:sunhinghk02
"Identifies security events where the source IP is 47.99.166.149 and the destination IP is 14.136.211.76, regardless of the process name.",srcip:47.99.166.149 && trgip:14.136.211.76 && pname:*
"Find Palo Alto firewall events for tenant D0034 where a target domain is present and its risk score falls between 50 and 200, excluding spyware detections and the domain xux-web-config.oss-accelerate.aliyuncs.com.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 200] AND NOT evt:""Spyware detection"" AND NOT trgdomain:""xux\\-web\\-config.oss\\-accelerate.aliyuncs.com"""
"Identify events for tenant D0034 where there is a target domain with a non-empty value and a high blscore_trgdomain score (120–500), while excluding traffic to the specified safe domains (Bing, Google Tag Manager, AppNexus, and the Aliyun config domain).","tenantname:D0034 AND blsrc_trgdomain:* AND blscore_trgdomain:[120 TO 500] AND NOT trgdomain:www.bing.com AND NOT trgdomain:googletagmanager.com AND NOT trgdomain:secure.adnxs.com AND NOT trgdomain:""xux\\-web\\-config.oss\\-accelerate.aliyuncs.com"""
Searches for network events originating from 192.168.12.125 that are directed to either 192.168.42.75 or 192.168.42.76.,(couip: 192.168.42.75 OR couip:192.168.42.76)  srcip:192.168.12.125
"Find logs for tenant D0034 from a Palo Alto Next-Generation Firewall where there is a domain relationship to a target domain with a score between 50 and 300, the taxonomy outcome was successful, and the event originated from IP 192.168.24.80.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 300] AND taxoutpro:success  AND srcip:192.168.24.80"
It pulls logs for activities tied to tenant M0001 or involving the IP address 10.1.0.232.,tenantname:M0001  OR couip:10.1.0.232
"Identify events for tenant D0034 where taxoutpro is 1 and voc is 200, while excluding traffic from the 192.0.0.0/8 private IP range.", tenantname:D0034 AND taxoutpro:1 AND voc:200 AND !srcip:192.*.*.*
"Find logs from Symantec Endpoint Security Protection where there is a real destination IP and an entry for a blocked source-to-target IP, excluding events with the destination set to 0.0.0.0.","pname:""Symantec Endpoint Security Protection"" AND trgip:* AND blsrc_trgip:* NOT trgip:0.0.0.0"
"Finds logs for tenant D0034 where Radware DefensePro Anti-DDoS Protection was involved, the source IP is 49.212.153.99 (not 0.0.0.0), and the outbound protection succeeded, from any source country.","tenantname:D0034 AND pname:""Radware DefensePro Anti-DDoS Protection"" AND NOT srcip:0.0.0.0 AND taxoutpro:success AND srccountry:* AND srcip:49.212.153.99"
Find MAGI parser events for tenant D0034 that have severity level 4.,parsertype:MAGI AND tenantname:D0034 AND sev:4
"Finds Palo Alto NGFW logs for tenant M0001, excluding MAGI-parsed entries, any session-related events, and any events involving the domains youporn.com or backblazeb2.com.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com"
It filters logs to show events where the connection originates from IP 10.1.100.150 and the user name is shgadmin.,srcip:10.1.100.150 AND srcuname:shgadmin
"Looks for URL-filtering events from the Palo Alto firewall for tenant M0001 where the accessed domain is youporn.com, excluding any events involving onlyfans.com or backblazeb2.com.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND trgdomain:* AND evt:""URL filtering log"" AND trgdomain:* AND NOT trgdomain:onlyfans.com AND NOT trgdomain:backblazeb2.com AND trgdomain:youporn.com"
Finds firewall events in tenant D0034 where the internal host 192.168.47.180 communicates with 204.79.197.203 through the Palo Alto Next-Generation Firewall and a source username is present.,"tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND srcip:192.168.47.180 AND trgip:204.79.197.203 AND srcuname:*"
"It finds events from tenant M0001 related to Microsoft Active Directory and Windows, with vector 33205 and a severity level of 3.","tenantname:M0001 AND pname:""Microsoft Active Directory and Windows"" AND vec:33205 AND sev:3"
"It flags activity from tenant D0034 targeting the IP 1.1.1.1 with any destination domain, but excludes hits to a list of whitelisted/known-safe domains.","tenantname:D0034  AND trgip:1.1.1.1 AND trgdomain:* AND NOT trgdomain:uatapp03.etnet.com.hk AND NOT trgdomain:""uat\\-api.rimanggis.com"" AND NOT trgdomain:uatweb03.etnet.com.hk AND NOT trgdomain:ssl.gstatic.com AND NOT trgdomain:""ubp\\-common\\-uk\\-prod.s3.amazonaws.com"""
Find logs for tenant M0001 where the source IP is 10.1.132.51 and the destination domain is the CrowdStrike Firehose endpoint firehose.us-2.crowdstrike.com.,"tenantname:M0001 AND srcip:10.1.132.51 AND trgdomain:* AND trgdomain:""firehose.us\\-2.crowdstrike.com"""
"Identifies Palo Alto firewall events for tenant D0034 where there is outbound activity to high‑risk target domains (score 50–500) excluding page.dingtalk.com and 1pool.org, with the outbound proxy operation marked as successful.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 500] AND NOT trgdomain:page.dingtalk.com AND taxoutpro:success AND NOT trgdomain:1pool.org"
"Identifies non-office-hours login activity for tenant M0001, specifically successful logins and admin account login attempts, tied to the user hiltonchang and parsed with MAGI.","(tenantname:M0001 AND parsertype:MAGI  AND ( evt:""Non\\-Office Hour Successful Login Attempt "" OR evt:""Non\\-Office Hour Admin Account Login Attempt"" )) AND trguname:hiltonchang"
"Finds events for tenant M0001 from the Palo Alto Next-Generation Firewall with severity 4, excluding MAGI parser-type entries, and where a source username is present.","(tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall""  AND NOT parsertype:MAGI AND  sev:4) AND srcuname:*"
Looks for security events from tenant D0034 that originate in China and involve a process named Sangfor_CyberCommand.,"tenantname:D0034 AND srccountry:CHN AND pname:""Sangfor_CyberCommand"""
"Looks for events where the Sangfor_CyberCommand process is detected, the source country is China, and a source IP address is recorded.","pname:""Sangfor_CyberCommand"" AND srccountry:CHN AND srcip:*"
"It looks for Palo Alto firewall activity for tenant M0001, excluding MAGI-parsed logs and session events, and excluding traffic to a long list of domains (mostly adult sites and a few others) so you only see other, potentially noteworthy events.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:backblaze.com AND NOT trgdomain:xhamster.com AND NOT trgdomain:xxx.com AND NOT trgdomain:x.js AND NOT trgdomain:live.com AND NOT trgdomain:xnxx.com AND NOT trgdomain:bcgame.li AND NOT trgdomain:google.com  AND NOT trgdomain:bithumb.com AND NOT trgdomain:binance.com AND NOT trgdomain:men.com AND NOT trgdomain:cock.com AND NOT trgdomain:chaturbate.com AND NOT trgdomain:pornhub.com AND NOT trgdomain:pussy.com AND NOT trgdomain:onlyfans.com AND NOT trgdomain:""hero\\-8172.com"""
"Find logs for tenant D0034 where there is a linked target domain with a risk score between 100 and 300, excluding any destinations that are Binance.com.",tenantname:D0034 AND blsrc_trgdomain:* AND blscore_trgdomain:[100 TO 300] AND NOT trgdomain:*.binance.com
"It looks for security events from tenant D0034 that originated in China, have a severity of 4, and came from the IP address 183.201.225.52.",tenantname:D0034 AND srccountry:CHN AND sev:4 AND srcip:183.201.225.52
"Find logs for tenant M0001 from Palo Alto Next-Generation Firewall that target backblazeb2.com, while excluding MAGI-parsed events, any session events, and traffic to youporn.com.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND trgdomain:backblazeb2.com"
"Finds logs for tenant M0001 from the Palo Alto Next-Generation Firewall, excluding MAGI-parsed results, where there is domain information in the source/target domain field, and the destination domain is not bithumb.com.","(tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall""  AND NOT parsertype:MAGI ) AND blsrc_trgdomain:* AND NOT trgdomain:bithumb.com"
It looks for SQL-related events in tenant D0034 that are flagged as SQL injection attacks involving the COALESCE function.,sql AND tenantname:D0034 AND evt:COALESCE函数SQL注入攻击
"Find outgoing events for tenant D0034, processed by the MAGI parser, directed to the IP 150.242.122.31.",tenantname:D0034 AND parsertype:MAGI AND evt:Outgoing* AND trgip:150.242.122.31
"Finds blocked web-attack events from Symantec Endpoint Security Protection where the requested domain was flagged as a bad-reputation domain by WebPulse, excluding any events arising from the user joetsang.","pname:""Symantec Endpoint Security Protection"" AND evt:""Web Attack\\: Webpulse Bad Reputation Domain Request attack blocked"" NOT srcuname:joetsang"
"Filters out logs from the listed vendors (Microsoft Active Directory/Windows, Radware DefensePro, vSphere vCenter, Fortinet Fortigate, and MSSQL), excludes entries with no_parser status, excludes those containing the applmgmt-audit message, and excludes any entries where all seven tax-related fields are populated.","NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT parselogstatus:""no_parser"" AND NOT pname:""Microsoft Active Directory and Windows"" AND NOT pname:""Radware DefensePro Anti\\-DDoS Protection"" AND NOT pname:""vSphere vCenter"" AND NOT rawmsg:applmgmt-audit AND NOT pname:""Fortinet Fortigate"" AND NOT pname:MSSQL"
"It looks for Symantec Endpoint Protection events for tenant D0034, but only ones that are not normal/benign (excluding common successes and routine updates), i.e., it aims to surface unusual or potentially concerning SEP alerts.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND (NOT evt:""The management server received the client log successfully"") AND (NOT evt:""Block Web Services Discovery from external computers"") AND (NOT evt:""Allowed Outbound connection"") AND (NOT evt:""Allowed Inbound connection"") AND (NOT evt:""Allow all applications"") AND (NOT evt:""The client will block traffic from IP address"") AND (NOT evt:""The client has downloaded the content package successfully"") AND (NOT evt:""The client has downloaded globalindex.dax"") AND (NOT evt:""Log files written to USB drives"") AND (NOT evt:""Audit\\: P2P Torrent Traffic 5 attack blocked"") AND (NOT evt:""Symantec Endpoint Protection has determined that the virus definitions are missing on this computer"") AND (NOT evt:""Block UPnP Discovery from external computers"") AND (NOT evt:""An update for Intrusion Prevention Signatures from LiveUpdate failed to install"") AND (NOT evt:""An update for Common Network Transport Library and Configuration from LiveUpdate failed to install"") AND (NOT evt:""A LiveUpdate session encountered errors"") AND (NOT evt:""The client has reconnected with the management server"") AND (NOT evt:""The client has downloaded the policy successfully"") AND (NOT evt:""An update for WSS Traffic Redirection from LiveUpdate failed to install"") AND (NOT evt:""An update for SONAR Definitions from LiveUpdate failed to install"") AND (NOT evt:""An update for Revocation Data from LiveUpdate failed to install"") AND (NOT evt:""Web Attack\\: Webpulse Bad Reputation Domain Request attack blocked"") AND (NOT evt:""Internet Explorer Browser Intrusion Prevention disabled by policy"") AND (NOT evt:""Firefox Browser Intrusion Prevention disabled by policy"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 08\\:55\\:06"") AND (NOT evt:""Device Manager Message Disabled the device"") AND (NOT evt:""Symantec Endpoint Protection is unable to download the newest policy from the Symantec Endpoint Protection Manager"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 08\\:54\\:04"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 08\\:53\\:04"") AND (NOT evt:""An update for SONAR Definitions failed to install"") AND (NOT evt:""An update for Extended File Attributes and Signatures failed to install"")  AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:01\\:05"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:01\\:02"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:00\\:05"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 08\\:59\\:05"") AND (NOT evt:""An update for Virus and Spyware Definitions SDS Win64 \\(Reduced\\) failed to install"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:40\\:04"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:39\\:03"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:38\\:06"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:37\\:05"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:31\\:03"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:49\\:06"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:46\\:05"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:45\\:03"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:44\\:07"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 09\\:43\\:05"")"
"Find security events for tenant D0034 where the Sangfor_CyberCommand process was involved, originating from IP 27.157.48.154, with a non-empty source country.","tenantname:D0034 AND pname:""Sangfor_CyberCommand"" AND srccountry:* AND srcip:27.157.48.154"
